id,name,category,type,ship_to_name,ship_to_erp,ship_to_id,license_plate_number,erp_id,Asset Type,Tank Size,Hub,LoS,Date Added
56265,114,tank_wagon,DeliveryAsset,Houston HUB,,135003,114,,,,,,
56268,Tank-DF-01,tank,CustomerAsset,251 Wesley Chapel,,33588,Tank-DF-01,,,,,,
56269,Tank-DFRED-01,tank,CustomerAsset,251 Wesley Chapel,,33588,Tank-DFRED-01,,,,,,
56270,Tank-DF-01,tank,CustomerAsset,Army Corp of Engineer,,33589,Tank-DF-03,,,,,,
56271,Tank-DFRED-01,tank,CustomerAsset,Army Corp of Engineer,,33589,Tank-DFRED-02,,,,,,
56546,7576,tank_wagon,DeliveryAsset,Houston HUB,,135003,7576,,,,,,
56576,MS-006,tank,RentalAsset,TxDot Harris SH 288,80001B1C-1677002827-TxDot Harris SH 288,762999,MS-006,MS-006,,,,,
56577,MS-2019,tank,RentalAsset,Woodlake Motors Yard,80002504-1729722464-Woodlake Motors Yard,756058,MS-2019,MS-2019,,,,,
56585,MS-420,tank,RentalAsset,Tidwell Rd,80000570-1500498115-Tidwell Rd,511888,MS-420,MS-420,,,,,
56595,MS-516,tank,RentalAsset,Ship To 1,800012AB-1625685253-Ship To 1,34494,MS-516,MS-516,,,,,
56596,MS-017,tank,RentalAsset,Ship To 1,800012AB-1625685253-Ship To 1,34494,MS-017,MS-017,,,,,
56600,MS-1338,tank,RentalAsset,Franklington,80001E8C-1696612115-Franklington,537547,MS-1338,MS-1338,,,,,
56603,MS-1258,tank,RentalAsset,11TH STREET,80000EEC-1596039875-11TH STREET,515120,MS-1258,MS-1258,,,,,
56610,MS-1119,tank,RentalAsset,Sandune Rd,8000063D-1507033645-Sandune Rd,35546,MS-1119,MS-1119,,,,,
56612,MS-477,tank,RentalAsset,Ship To 1,8000104E-1605623466-Ship To 1,35612,MS-477,MS-477,,,,,
56621,MS-1033,tank,RentalAsset,I-10,80001148-1614702989-I-10,36121,MS-1033,MS-1033,,,,,
56622,MS-1244,tank,RentalAsset,Loop 250,800019BD-1667418005-Loop 250,706502,MS-1244,MS-1244,,,,,
56625,MS-257,tank,RentalAsset,Bridgeland Sec 12,80000362-1470928926-Bridgeland Sec 12,562201,MS-257,MS-257,,,,,
56632,MS-2113,tank,RentalAsset,Decker Prairie 26726,80000980-1559070915-Decker Prairie 26726,36851,MS-2113,MS-2113,,,,,
56633,MS-OH-1002,tank,RentalAsset,Decker Prairie 26726,80000980-1559070915-Decker Prairie 26726,36851,MS-OH-1002,MS-OH-1002,,,,,
56635,MS-09,tank,RentalAsset,Ship To 1,80000E96-1592342976-Ship To 1,36857,MS-09,MS-09,,,,,
56650,MS-1200,tank,RentalAsset,Veterans Memorial Dr,8000184A-1660761094-Veterans Memorial Dr,638680,MS-1200,MS-1200,,,,,
56660,MS-283,tank,RentalAsset,Market St.,800002F3-1464273288-Market St.,37570,MS-283,MS-283,,,,,
56665,MS-162,tank,RentalAsset,North Fwy,800006E8-1519074710-North Fwy,258623,MS-162,MS-162,,,,,
56666,MS-214,tank,RentalAsset,Westheimer,800006E8-1519074710-Westheimer,37654,MS-214,MS-214,,,,,
56667,MS-1255,tank,RentalAsset,Old Bonham,80001B53-1678204883-Old Bonham,535092,MS-1255,MS-1255,,,,,
56668,MS-092,tank,RentalAsset,Cypress Christ Laydo,80000035-1405975412-Cypress Christ Laydo,685741,MS-092,MS-092,,,,,
56672,MS-224,tank,RentalAsset,Crosby Shop,800021C2-1714687061-Crosby Shop,545456,MS-224,MS-224,,,,,
56673,MS-1005,tank,RentalAsset,Bourgeois,8000070E-1521564877-Bourgeois,546782,MS-1005,MS-1005,,,,,
56682,MS-450,tank,RentalAsset,Oncore Mudstone,800005A7-1503349027-Oncore Mudstone,547934,MS-450,MS-450,,,,,
56685,MS-1236,tank,RentalAsset,4403 NORTH,80002102-1710366689-4403 NORTH,516913,MS-1236,MS-1236,,,,,
56700,MS-1253,tank,RentalAsset,3575 Pollok Drive,80000CB9-1569949408-Ship To 1,38873,MS-1253,MS-1253,,,,,
56701,MS-273,tank,RentalAsset,Humble 11,8000013E-1423841496-Humble 11,520332,MS-273,MS-273,,,,,
56729,MS-1069,tank,RentalAsset,Ship To 1,80000FDF-1600983734-Ship To 1,39559,MS-1069,MS-1069,,,,,
56730,MS-1099,tank,RentalAsset,Hurfus,80000521-1497014896-Hurfus,39568,MS-1099,MS-1099,,,,,
56734,MS-1017,tank,RentalAsset,McKay Industrial Tri,80000058-1405975416-McKay Industrial Tri,543351,MS-1017,MS-1017,,,,,
56738,MS-1239,tank,RentalAsset,Golden Peanuts CO,800005A7-1503349027-Golden Peanuts CO,40099,MS-1239,MS-1239,,,,,
56751,MS-1209,tank,RentalAsset,Townhurst,80000EAC-1593539225-Townhurst,34119,MS-1209,MS-1209,,,,,
56752,MS-2037,tank,RentalAsset,Gate 4,800010D4-1612385605-Gate 4,36624,MS-2037,MS-2037,,,,,
56757,MS-191,tank,RentalAsset,Tomball Location,80000015-1405975408-Tomball Location,39620,MS-191,MS-191,,,,,
56761,MS-138,tank,RentalAsset,121 CR 161,80000B12-1565734582-121 CR 161,37181,MS-138,MS-138,,,,,
56774,MS-401,tank,RentalAsset,US 281,80000AC7-1565734569-US 281,37704,MS-401,MS-401,,,,,
56777,MS-2033,tank,RentalAsset,Midland HUB,,270398,MS-2033,MS-2033,,,,,
56783,MS-1374,tank,RentalAsset,Bryan,8000201A-1705941636-Bryan,508939,MS-1374,MS-1374,,,,,
56785,MS-1225,tank,RentalAsset,Industrial Rd,80001D21-1689194527-Industrial Rd,429467,MS-1225,MS-1225,,,,,
56788,MS-1152,tank,RentalAsset,Ship To 1,80001297-1624974612-Ship To 1,38100,MS-1152,MS-1152,,,,,
56801,MS-2078,tank,RentalAsset,Sens Rd.,80000846-1540216070-Sens Rd.,35708,MS-2078,MS-2078,,,,,
56807,MS-211,tank,RentalAsset,Ballena Wy,800012C6-1626700461-Ballena Wy,711660,MS-211,MS-211,,,,,
56811,MS-1063,tank,RentalAsset,Afton,80000054-1405975416-Afton,35414,MS-1063,MS-1063,,,,,
56824,MS-261,tank,RentalAsset,Ship To 1,80000DF6-1584716733-Ship To 1,38049,MS-261,MS-261,,,,,
56829,MS-1047,tank,RentalAsset,Houston HUB,,135003,MS-1047,MS-1047,,,,,
56835,MS-1029,tank,RentalAsset,Pineland,8000045D-1481646258-Pineland,163372,MS-1029,MS-1029,,,,,
56837,MS-528,tank,RentalAsset,Ojeman Rd,800012D4-1627049440-Ojeman Rd,509337,MS-528,MS-528,,,,,
56838,MS-459,tank,RentalAsset,Atascocita Compost,80000E36-1587403383-Atascocita Compost,762401,MS-459,MS-459,,,,,
56842,MS-446,tank,RentalAsset,Ship To 1,800011BE-1617986816-Ship To 1,39151,MS-446,MS-446,,,,,
56849,MS-2111,tank,RentalAsset,SWT Plant Exp II,80001F6D-1701817100-SWT Plant Exp II,546540,MS-2111,MS-2111,,,,,
56851,MS-476,tank,RentalAsset,Ship To 1,80000FDF-1600983734-Ship To 1,39559,MS-476,MS-476,,,,,
56873,MS-081,tank,RentalAsset,Emberly Job 2412,800001E1-1438962815-Emberly Job 2412,687207,MS-081,MS-081,,,,,
56880,MS-212,tank,RentalAsset,Keenan 19530,800009D4-1562884436-Keenan 19530,269600,MS-212,MS-212,,,,,
56892,MS-1124,tank,RentalAsset,Old Greenhouse Dr,80001E67-1695923563-Old Greenhouse Dr,430542,MS-1124,MS-1124,,,,,
56893,MS-334,tank,RentalAsset,Bluebonnett,800000FB-1415810980-Bluebonnett,38078,MS-334,MS-334,,,,,
56904,MS-285,tank,RentalAsset,Midland,800007F2-1536593432-Midland,175151,MS-285,MS-285,,,,,
56907,MS-280,tank,RentalAsset,N. South St.,80000DC8-1582826567-N. South St.,267872,MS-280,MS-280,,,,,
56919,MS-370,tank,RentalAsset,Eastex,80000C56-1567022379-Eastex,164809,MS-370,MS-370,,,,,
56924,MS-1118,tank,RentalAsset,Ship To 1,80001054-1605799579-Ship To 1,36634,MS-1118,MS-1118,,,,,
56931,MS-2120,tank,RentalAsset,Deerhurst Ln,80000570-1500498115-Deerhurst Ln,519353,MS-2120,MS-2120,,,,,
56947,MS-368,tank,RentalAsset,George West HUB,,160561,MS-368,MS-368,,,,,
56956,MS-351,tank,RentalAsset,Ship To 1,80000E7E-1590686460-Ship To 1,39864,MS-351,MS-351,,,,,
56957,MS-522,tank,RentalAsset,YALE PENDING,PENDING,712510,MS-522,MS-522,,,,,
56961,MS-343,tank,RentalAsset,BENNING,80001A6E-1672781673-BENNING,546006,MS-343,MS-343,,,,,
56970,MS-1061,tank,RentalAsset,Gassner 4604,80000E6F-1589836401-Gassner 4604,164806,MS-1061,MS-1061,,,,,
56974,MS-1064,tank,RentalAsset,Huf Kohr,80000500-1495042635-Huf Kohr,34475,MS-1064,MS-1064,,,,,
56982,MS-1322,tank,RentalAsset,Ship To 1,80000E94-1592323204-Ship To 1,40272,MS-1322,MS-1322,,,,,
56995,MS-325,tank,RentalAsset,Ikea-RBFCU Pkwy,80001F3C-1700268392-Ikea-RBFCU Pkwy,688020,MS-325,MS-325,,,,,
56996,MS-029,tank,RentalAsset,Jones Rd.,800006DE-1518467221-Jones Rd.,37377,MS-029,MS-029,,,,,
57002,MS-1062,tank,RentalAsset,Telephone,800002A3-1454950703-Telephone,39186,MS-1062,MS-1062,,,,,
57003,MS-208,tank,RentalAsset,Barker Cypress,8000104F-1605627379-Barker Cypress,283541,MS-208,MS-208,,,,,
57010,MS-1290,tank,RentalAsset,Ship To 1,80000DFC-1584997313-Ship To 1,34205,MS-1290,MS-1290,,,,,
57016,MS-171,tank,RentalAsset,Sens Rd.,80000846-1540216070-Sens Rd.,35708,MS-171,MS-171,,,,,
57018,MS-095,tank,RentalAsset,Pileworks,8000005D-1405975417-Pileworks,558761,MS-095,MS-095,,,,,
57023,MS-198,tank,RentalAsset,W. Industrial Ave,80000EFA-1596643098-W. Industrial Ave,260091,MS-198,MS-198,,,,,
57025,MS-1307,tank,RentalAsset,Howard Energy partne,80000C73-1568219807-Howard Energy partne,39183,MS-1307,MS-1307,,,,,
57029,MS-1233,tank,RentalAsset,Mills Road Job,800012C6-1626700461-Mills Road Job,714886,MS-1233,MS-1233,,,,,
57032,MS-274,tank,RentalAsset,Project Mercury,80000035-1405975412-Project Mercury,687873,MS-274,MS-274,,,,,
57062,MS-1144,tank,RentalAsset,Ship To 1,80000EE1-1595602449-Ship To 1,36571,MS-1144,MS-1144,,,,,
57069,MS-OH-1038,tank,RentalAsset,# 1,80001198-1616691696-# 1,36840,MS-OH-1038,MS-OH-1038,,,,,
57074,MS-361,tank,RentalAsset,fm 359,80000168-1428070129-fm 359,37790,MS-361,MS-361,,,,,
57075,MS-1068,tank,RentalAsset,Afton,80000054-1405975416-Afton,35414,MS-1068,MS-1068,,,,,
57076,MS-1107,tank,RentalAsset,Macedonia,800003BD-1473706558-Macedonia,36527,MS-1107,MS-1107,,,,,
57083,MS-657,tank,RentalAsset,Flintlock,800007CC-1534269114-Flintlock,755913,MS-657,MS-235,,,,,
57105,MS-8001,tank,RentalAsset,Houston HUB,,135003,MS-8001,MS-8001,,,,,
57112,XMS-4K-2,tank,CustomerAsset,Kobs Rd. 22502,800003C7-1474041035-Kobs Rd. 22502,35834,XMS-4K-2,MS-4K-2,,,,,
57113,XMS-4K-3,tank,CustomerAsset,Kobs Rd. 22502,800003C7-1474041035-Kobs Rd. 22502,35834,XMS-4K-3,MS-4K-3,,,,,
57115,MS-4K-7,tank,RentalAsset,Rankin Golf Course,80001C0C-1682004890-Rankin Golf Course,472063,MS-4K-7,MS-4K-7,,,,,
57116,MS-4K-9,tank,RentalAsset,# 1,80001198-1616691696-# 1,36840,MS-4K-9,MS-4K-9,,,,,
57118,MS-4K-14,tank,RentalAsset,Jack Road,80000039-1405975412-Jack Road,163799,MS-4K-14,MS-4K-14,,,,,
57119,MS-4K-CV-1,tank,RentalAsset,Ship To 1,80000E82-1591214622-Ship To 1,37700,MS-4K-CV-1,MS-4K-CV-1,,,,,
57123,MS-4K-5,tank,RentalAsset,Jasmine Dr,80000981-1559071302-Jasmine Dr,33636,MS-4K-5,MS-4K-5,,,,,
57126,MS-3K-6,tank,RentalAsset,P66- PASADENA TERM,800004B1-1488559327-P66- PASADENA TERM,573771,MS-3K-6,MS-3K-6,,,,,
57128,MS-3K-13,tank,RentalAsset,Cunningham Rd,80000035-1405975412-Cunningham Rd,164160,MS-3K-13,MS-3K-13,,,,,
57137,MS-3K-1,tank,RentalAsset,Pech Ln,8000059B-1502723611-Pech Ln,39563,MS-3K-1,MS-3K-1,,,,,
57139,MS-2040,tank,RentalAsset,Brittmoore Rd.,800001C6-1436218816-Brittmoore Rd.,33668,MS-2040,MS-2040,,,,,
57146,MS-2100,tank,RentalAsset,Ship To 1,800011AC-1617390757-Ship To 1,34521,MS-2100,MS-2100,,,,,
57154,MS-2K-36,tank,RentalAsset,Brownie,800008F3-1551201411-Brownie,34699,MS-2K-36,MS-2K-36,,,,,
57155,MS-2089,tank,RentalAsset,HSBC MUD 3,80000104-1416409180-HSBC MUD 3,509040,MS-2089,MS-2089,,,,,
57156,MS-2048,tank,RentalAsset,Ship To 1,800011E9-1619531854-Ship To 1,34838,MS-2048,MS-2048,,,,,
57157,MS-2110,tank,RentalAsset,N Twin City Hwy,80001B4F-1678141750-N Twin City Hwy,711541,MS-2110,MS-2110,,,,,
57162,MS-2K-44,tank,RentalAsset,Ship To 1,80000E60-1588953987-Ship To 1,35539,MS-2K-44,MS-2K-44,,,,,
57165,MS-2K-47,tank,RentalAsset,Ship To 1,80000E66-1589377978-Ship To 1,357269,MS-2K-47,MS-2K-47,,,,,
57169,MS-2091,tank,RentalAsset,W. Murphy St,80001307-1629131480-W. Murphy St,40268,MS-2091,MS-2091,,,,,
57177,MS-2038,tank,RentalAsset,Cox,8000036F-1471532712-Cox,164797,MS-2038,MS-2038,,,,,
57178,MS-2044,tank,RentalAsset,Rabon Chapel 2,80001A77-1672945066-Rabon Chapel 2,755278,MS-2044,MS-2044,,,,,
57179,MS-2025,tank,RentalAsset,Aldine Bender Rd,8000048C-1485446886-Aldine Bender Rd,529263,MS-2025,MS-2025,,,,,
57188,MS-2032,tank,RentalAsset,Houston HUB,,135003,MS-2032,MS-2032,,,,,
57197,MS-2K-4,tank,RentalAsset,Bluebonnett,800000FB-1415810980-Bluebonnett,38078,MS-2K-4,MS-2K-4,,,,,
57198,MS-2K-8,tank,RentalAsset,Bluebonnett,800000FB-1415810980-Bluebonnett,38078,MS-2K-8,MS-2K-8,,,,,
57211,MS-2067,tank,RentalAsset,Job# 2201,80000570-1500498115-Job# 2201,573683,MS-2067,MS-2067,,,,,
57212,MS-2092,tank,RentalAsset,Pearland Industrial,80000652-1507826626-Pearland Industrial,687990,MS-2092,MS-2092,,,,,
57214,MS-2K-48,tank,RentalAsset,Ship To 1,80000E6F-1589836401-Ship To 1,38886,MS-2K-48,MS-2K-48,,,,,
57226,MS-2125,tank,RentalAsset,2910 W CR 127,80001015-1603130640-2910 W CR 127,39551,MS-2125,MS-2125,,,,,
57234,MS-2K-34,tank,RentalAsset,Midland Yard 2,80001DC0-1692633770-Midland Yard 2,543755,MS-2K-34,MS-2K-34,,,,,
57249,MS-1293,tank,RentalAsset,Pioneer Brook 0-3H,80000782-1529350865-Pioneer Brook 0-3H,520273,MS-1293,MS-1293,,,,,
57253,MS-1046,tank,RentalAsset,Highlands Sec 11,8000053D-1498067801-Highlands Sec 11,754989,MS-1046,MS-1046,,,,,
57254,MS-1149,tank,RentalAsset,Ship To 1,80000E84-1591295912-Ship To 1,34240,MS-1149,MS-1149,,,,,
57255,MS-1K-2,tank,RentalAsset,Ship To 1,80000E8D-1591822523-Ship To 1,34267,MS-1K-2,MS-1K-2,,,,,
57256,MS-1K-23,tank,RentalAsset,Ship To 1,80000E8D-1591822523-Ship To 1,34267,MS-1K-23,MS-1K-23,,,,,
57257,MS-1387,tank,RentalAsset,Ship To 1,800012C2-1626366254-Ship To 1,34317,MS-1387,MS-1387,,,,,
57269,MS-1114,tank,RentalAsset,8 on the Loop,80000058-1405975416-8 on the Loop,714860,MS-1114,MS-1114,,,,,
57275,MS-1298,tank,RentalAsset,Dilley Yard,80001E2E-1694706596-Dilley Yard,429640,MS-1298,MS-1298,,,,,
57294,MS-1011,tank,RentalAsset,Yard,800021A2-1714067972-Yard,519852,MS-1011,MS-1011,,,,,
57296,MS-1500-SV-1,tank,RentalAsset,Intercontinental,80000D4F-1574801605-Intercontinental,36237,MS-1500-SV-1,MS-1500-SV-1,,,,,
57300,MS-1352,tank,RentalAsset,CR 146,80000CAE-1569519472-CR 146,36505,MS-1352,MS-1352,,,,,
57302,MS-1140,tank,RentalAsset,Grace Community,8000065B-1508344648-Grace Community,163082,MS-1140,MS-1140,,,,,
57304,MS-1035,tank,RentalAsset,Fish Creek,80000721-1522789759-Fish Creek,36604,MS-1035,MS-1035,,,,,
57305,MS-1043,tank,RentalAsset,Fish Creek,80000721-1522789759-Fish Creek,36604,MS-1043,MS-1043,,,,,
57306,MS-1310,tank,RentalAsset,Houston HUB,,135003,MS-1310,MS-1310,,,,,
57307,MS-1291,tank,RentalAsset,Houston HUB,,135003,MS-1291,MS-1291,,,,,
57308,MS-1101,tank,RentalAsset,Bridgeland Lake Pkwy,80000362-1470928926-Bridgeland Lake Pkwy,273031,MS-1101,MS-1101,,,,,
57310,MS-1128,tank,RentalAsset,"Anniston Sec 13 / 29.860278, -95.832194",8000006C-1406226973-Anniston Sec 13,763067,MS-1128,MS-1128,,,,,
57315,MS-1K-10,tank,RentalAsset,N. Western Ave,80001761-1655134784-N. Western Ave,160105,MS-1K-10,MS-1K-10,,,,,
57316,MS-6K-11,tank,RentalAsset,JT VP Facility,8000131A-1629164867-JT VP Facility,467844,MS-6K-11,MS-6K-11,,,,,
57317,MS-1K-14,tank,RentalAsset,Maintenance Building,80001198-1616691696-Maintenance Building,36846,MS-1K-14,MS-1K-14,,,,,
57318,MS-1K-15,tank,RentalAsset,Maintenance Building,80001198-1616691696-Maintenance Building,36846,MS-1K-15,MS-1K-15,,,,,
57323,MS-1104,tank,RentalAsset,Ship To 1,80000DF5-1584716172-Ship To 1,36970,MS-1104,MS-1104,,,,,
57324,MS-1147,tank,RentalAsset,Ship To 1,80000DF5-1584716172-Ship To 1,36970,MS-1147,MS-1147,,,,,
57337,MS-1218,tank,RentalAsset,Jefferson Loyde Park,800021CB-1715174537-Jefferson Loyde Park,520522,MS-1218,MS-1218,,,,,
57341,MS-1282,tank,RentalAsset,Ship To 1,80001054-1605799579-Ship To 1,36634,MS-1282,MS-1282,,,,,
57342,MS-1K-12,tank,RentalAsset,Kermit Plant 1,80001198-1616691696-Kermit Plant 1,36844,MS-1K-12,MS-1K-12,,,,,
57345,MS-1319,tank,RentalAsset,Eva St 20509,800009D4-1562884436-Eva St 20509,270208,MS-1319,MS-1319,,,,,
57349,MS-1277,tank,RentalAsset,House Hahl,80000035-1405975412-House Hahl,267449,MS-1277,MS-1277,,,,,
57350,MS-1285,tank,RentalAsset,Labrada,80000035-1405975412-Labrada,533304,MS-1285,MS-1285,,,,,
57352,MS-1127,tank,RentalAsset,Cross Creek Ranch,800000FB-1415810980-Cross Creek Ranch,510128,MS-1127,MS-1127,,,,,
57353,MS-1220,tank,RentalAsset,HEB Morton NS346,800000FB-1415810980-HEB Morton NS346,444874,MS-1220,MS-1220,,,,,
57354,MS-1156,tank,RentalAsset,CR 1150,80000755-1526048354-CR 1150,38112,MS-1156,MS-1156,,,,,
57372,MS-1313,tank,RentalAsset,Ship To 1,80000E6F-1589836401-Ship To 1,38886,MS-1313,MS-1313,,,,,
57386,MS-1106,tank,RentalAsset,Houston HUB,,135003,MS-1106,MS-1106,,,,,
57390,MS-1311,tank,RentalAsset,Newport Sec 5,8000053D-1498067801-Newport Sec 5,690560,MS-1311,MS-1311,,,,,
57392,MS-1386,tank,RentalAsset,Bluebonnet Dr.,80000857-1540934321-Bluebonnet Dr.,260586,MS-1386,MS-1386,,,,,
57393,MS-1270,tank,RentalAsset,New Yard Hwy 80,800001CC-1436472496-New Yard Hwy 80,546926,MS-1270,MS-1270,,,,,
57394,MS-1K-DW-4,tank,RentalAsset,1960,80000015-1405975408-1960,39619,MS-1K-DW-4,MS-1KDW-4,,,,,
57395,MS-1196,tank,RentalAsset,Bedford,800002C8-1459878045-Bedford,49771,MS-1196,MS-1196,,,,,
57396,MS-1202,tank,RentalAsset,Clay,80000F41-1598460151-Clay,357423,MS-1202,MS-1202,,,,,
57402,MS-1122,tank,RentalAsset,Midland HUB,,270398,MS-1122,MS-1122,,,,,
57415,MS-1130,tank,RentalAsset,Hwy 191,800005D6-1504637023-Hwy 191,258706,MS-1130,MS-1130,,,,,
57419,MS-218,tank,RentalAsset,McKinney Street,80001170-1615486375-McKinney Street,39925,MS-218,MS-218,,,,,
57429,MS-442,tank,RentalAsset,Ship To 1,8000105E-1606249253-Ship To 1,258704,MS-442,MS-442,,,,,
57438,MS-452,tank,RentalAsset,Ship To 1,800011BE-1617986816-Ship To 1,39151,MS-452,MS-452,,,,,
57465,MS-479,tank,RentalAsset,CR 3240,800013E1-1632503444-CR 3240,514571,MS-479,MS-479,,,,,
57469,MS-243,tank,RentalAsset,2910 W CR 127,80001015-1603130640-2910 W CR 127,39551,MS-243,MS-243,,,,,
57470,MS-329,tank,RentalAsset,Texas 6 S,80000FB9-1600358859-Texas 6 S,264030,MS-329,MS-329,,,,,
57472,MS-192,tank,RentalAsset,Tomball Location,80000015-1405975408-Tomball Location,39620,MS-192,MS-192,,,,,
57475,MS-OH-010,tank,RentalAsset,Creek Gates - 11980,800008A2-1546554763-Creek Gates - 11980,39637,MS-OH-010,MS-OH-010,,,,,
57476,MS-OH-011,tank,RentalAsset,MCBU Supply Chain,8000204A-1707259078-MCBU Supply Chain,552649,MS-OH-011,MS-OH-011,,,,,
57479,MS-152,tank,RentalAsset,Holderrieth 2418,8000070E-1521564877-Holderrieth 2418,762374,MS-152,MS-152,,,,,
57482,MS-059,tank,RentalAsset,Woodlane,80000162-1426872599-Woodlane,165581,MS-059,MS-059,,,,,
57504,MS-366,tank,RentalAsset,8 on the Lake,80000311-1466694143-8 on the Lake,761088,MS-366,MS-366,,,,,
57523,MS-292,tank,RentalAsset,W FM 1097 18525,800009D4-1562884436-W FM 1097 18525,37896,MS-292,MS-292,,,,,
57526,MS-118,tank,RentalAsset,Houston HUB,,135003,MS-118,MS-118,,,,,
57530,MS-196,tank,RentalAsset,Addicks,800006E5-1519063941-Addicks,38057,MS-196,MS-196,,,,,
57537,MS-3001,tank,RentalAsset,Houston HUB,,135003,MS-3001,MS-3001,,,,,
57562,MS-8DR50016-16,tank,RentalAsset,Mason 8,80000362-1470928926-Mason 8,782871,MS-8DR50016-16,MS-8DR50016-16,,,,,
57575,MS-470,tank,RentalAsset,San Luis Pass 10622,80000914-1553104132-San Luis Pass 10622,37356,MS-470,MS-470,,,,,
57576,MS-012-DW,tank,RentalAsset,North Freeway,80001130-1614278330-North Freeway,423064,MS-012-DW,MS-012DW,,,,,
57577,MS-013-DW,tank,RentalAsset,North Freeway,80001130-1614278330-North Freeway,423064,MS-013-DW,MS-013DW,,,,,
57583,MS-10K-2,tank,RentalAsset,North Freeway,80000425-1477497983-North Freeway,260150,MS-10K-2,MS-10K-2,,,,,
57592,MS-253,tank,RentalAsset,Aldine Bender,8000076A-1527866111-Aldine Bender,37603,MS-253,MS-253,,,,,
57594,MS-517,tank,RentalAsset,Tommy Sallas,800022C3-1720034231-Tommy Sallas,543427,MS-517,MS-517,,,,,
57595,MS-089,tank,RentalAsset,Eastex Fwy 13747,800006E8-1519074710-Eastex Fwy 13747,37652,MS-089,MS-089,,,,,
57596,MS-114,tank,RentalAsset,Lawndale St.,800006E8-1519074710-Lawndale St.,37651,MS-114,MS-114,,,,,
57598,MS-047,tank,RentalAsset,Cotton Farm,800016D5-1651762742-Cotton Farm,534188,MS-047,MS-047,,,,,
57621,MS-195,tank,RentalAsset,Bay Park Rd,80000C46-1566492508-Bay Park Rd,36920,MS-195,MS-195,,,,,
57622,MS-228,tank,RentalAsset,Yard,8000222E-1716505737-Yard,533686,MS-228,MS-228,,,,,
57640,MS-OH-1046,tank,RentalAsset,Sand Dunes,80000D38-1574100987-Sand Dunes,160536,MS-OH-1046,MS-OH-1046,,,,,
57660,MS-180,tank,RentalAsset,Ship To 1,80000DF9-1584726287-Ship To 1,36119,MS-180,MS-180,,,,,
57672,MS-443,tank,RentalAsset,Ship To 1,8000118A-1616514403-Ship To 1,36580,MS-443,MS-443,,,,,
57697,MS-885,tank,RentalAsset,Yard,8000224F-1717423016-Yard,533279,MS-885,MS-885,,,,,
57699,MS-445,tank,RentalAsset,Hardin Store - 25918,80000976-1558369465-Hardin Store - 25918,35537,MS-445,MS-445,,,,,
57754,MS-186,tank,RentalAsset,FM 521,8000074A-1525360632-FM 521,161499,MS-186,MS-186,,,,,
57755,MS-331,tank,RentalAsset,FM 521,8000074A-1525360632-FM 521,161499,MS-331,MS-331,,,,,
97256,TANK-01-RD,tank,CustomerAsset,I-69 & 1st Street,800006C4-1516736979-I-69 & 1st Street,49695,TANK-01RD,,,,,,
97258,MS-2167,tank,RentalAsset,S. Fulton,80001A52-1671484002-S. Fulton,173119,MS-2167,MS-2167,,,,,
97259,TANK-01-RD,tank,CustomerAsset,Harrington Trails Jo,800000AE-1409863298-Harrington Trails Jo,49698,TANK-01RD,,,,,,
97260,SDF TANK,tank,CustomerAsset,Crosby Freeway,800001DD-1438705628-Crosby Freeway,39442,SDF DYED,,,,,,
97265,Lobo Paving,tank,CustomerAsset,Principale Pkwy,800004B5-1489162596-Principale Pkwy,37424,Lobo Paving,,,,,,
97266,CUSTOMER TANK,tank,CustomerAsset,Wayside,800001B6-1435158790-Wayside,38314,1-100*DIESEL-OFFROAD,,,,,,
97267,T-4 - 2K GALL,tank,CustomerAsset,Silverthorne Ph 2,800001B6-1435158790-Silverthorne Ph 2,445074,T-4 - 2K GALL,,,,,,
97268,Bulk - Kluge - Tank 4 - Dyed,tank,CompanyAsset,Houston HUB,,135003,Bulk - Kluge - Tank 4 - Dyed,,,,,,
97273,MS-143,tank,RentalAsset,Houston HUB,,135003,MS-143,MS-143,,,,,
97290,FT-08 - Double Oak,tank,CustomerAsset,Timber Forest Dr,800000AE-1409863298-Timber Forest Dr,36098,FT-08,,,,,,
97291,FT-05 - Double Oak,tank,CustomerAsset,Timber Forest Dr,800000AE-1409863298-Timber Forest Dr,36098,FT-05,,,,,,
97293,9116,tank_wagon,DeliveryAsset,Houston HUB,,135003,9116,,,,,,
97302,SDF500-53,tank,CustomerAsset,TX-146,80001496-1637766524-TX-146,49708,SDF500-53,,,,,,
97313,Tank-01-RD,vehicle,CustomerAsset,Delta-example,Delta-01,49722,Tank-01-RD,,,,,,
97315,CUSTOMER TANK,tank,CustomerAsset,Ship To 1,80000CE8-1571162488-Ship To 1,36255,BLUE TANK,,,,,,
97316,CUSTOMER TANK,tank,CustomerAsset,Hwy 290,8000049E-1487086989-Hwy 290,39491,CUST TANK,,,,,,
97325,STI CONCRETE,tank,CustomerAsset,US 59,8000079E-1531245315-US 59,49728,SDF-500-84,,,,,,
97331,5000 gal ft 29,tank,CustomerAsset,Ship To 1,80000CE8-1571162488-Ship To 1,36255,5000 gal ft 29,,,,,,
97338,Equipment,vehicle,CustomerAsset,Summer Creek Trace,80000035-1405975412-Summer Creek Trace,49736,5,,,,,,
97350,DOUBLE OAK,tank,CustomerAsset,Timber Forest Dr,800000AE-1409863298-Timber Forest Dr,36098,CUST TANK,,,,,,
